"test"	"id"	"Q1"	"Q2"	"Q3"	"Q4"	"Q5"	"Q6"	"Q7"	"Q8"	"Q9"	"Q10"
"loesung"	"NA"	1	2	1	3	2	1	3	2	1	2
"vortest"	"ch05o"	1	1	1	3	2	3	3	2	4	3
"vortest"	"ma08s"	1	1	2	3	2	1	3	1	1	2
"vortest"	"ge12s"	1	3	1	3	2	1	1	0	3	3
"vortest"	"ma01x"	1	1	3	3	2	1	3	0	0	2
"vortest"	"fa03a"	1	3	1	3	2	2	3	3	3	2
"vortest"	"ni06s"	1	2	2	3	0	2	3	4	3	3
"vortest"	"br11r"	1	1	1	3	1	2	3	3	1	2
"vortest"	"mi28r"	1	2	3	4	1	1	3	4	3	3
"vortest"	"si03t"	1	2	3	3	2	1	3	3	1	2
"vortest"	"mi12u"	1	2	3	3	2	1	3	1	3	2
"vortest"	"ju07t"	1	2	3	1	1	1	3	4	3	4
"vortest"	"ma09s"	1	1	1	3	1	2	3	2	2	4
"vortest"	"ur03n"	1	1	3	3	1	1	3	4	3	3
"vortest"	"be05r"	1	1	1	3	1	1	3	2	1	2
"vortest"	"so07u"	1	1	3	3	1	1	3	2	4	3
"vortest"	"ro07a"	2	2	2	3	2	1	3	3	2	3
"vortest"	"ta12x"	1	1	1	3	1	1	3	1	1	2
"vortest"	"ma08y"	1	1	2	3	2	1	3	4	1	3
"vortest"	"ol28r"	1	1	1	3	1	3	3	3	4	3
"vortest"	"be05a"	1	1	3	1	1	2	3	4	4	2
"nachtest"	"ch050"	1	2	1	3	2	1	3	3	4	2
"nachtest"	"ma08s"	1	1	1	3	2	2	3	1	1	2
"nachtest"	"ge12s"	1	1	1	3	2	1	1	3	1	2
"nachtest"	"ma01x"	1	1	1	3	2	1	3	2	1	2
"nachtest"	"fa03a"	1	2	1	3	2	1	3	3	3	2
"nachtest"	"ni06s"	2	1	1	3	2	2	3	2	4	"NA"
"nachtest"	"br11r"	1	2	1	3	2	1	3	2	1	2
"nachtest"	"si03t"	1	1	1	4	2	2	3	1	4	2
"nachtest"	"mi12u"	1	2	1	3	2	2	3	1	1	2
"nachtest"	"ju07t"	1	2	1	3	2	1	3	1	4	2
"nachtest"	"ma09s"	1	1	1	3	2	1	3	2	1	1
"nachtest"	"ur03n"	1	1	1	3	2	1	3	2	4	2
"nachtest"	"so07u"	1	1	1	3	2	1	3	2	4	2
"nachtest"	"ro07a"	3	2	2	3	2	1	1	2	2	1
"nachtest"	"ta12x"	1	1	1	3	2	1	3	2	1	2
"nachtest"	"ma08y"	1	1	1	3	2	1	3	4	4	3
"nachtest"	"ol28r"	1	2	1	3	2	1	4	4	3	1
"nachtest"	"ai05i"	1	2	1	3	2	3	3	2	4	2
"nachtest"	"ma04e"	1	1	1	4	2	1	3	2	4	3
"nachtest"	"oi05i"	1	1	1	3	2	1	3	1	1	2
